,Unnamed: 0,symbol,date,open,high,low,close,volume,adj_close,prev_day_diff,50_day_moving_avg,10_day_volatility,s&p_index_open,s&p_index_high,s&p_index_low,s&p_index_close,s&p_index_volume,s&p_index_adj_close
2623,2623,IBM,1972-07-06,1.0,1.0,1.0,1.0,747200,1.0,0.060719,6.348975,0.144496,108.279999,110.269997,108.279999,109.040001,19520000.0,109.040001
2624,2624,IBM,1972-07-07,1.0,1.0,1.0,1.0,489600,1.0,0.0040479999999999995,6.357184999999999,0.135186,109.040001,109.660004,108.160004,108.690002,12900000.0,108.690002
2625,2625,IBM,1972-07-10,1.0,1.0,1.0,1.0,443200,1.0,-0.080958,6.363453,0.047751,108.690002,109.160004,107.620003,108.110001,11700000.0,108.110001
2626,2626,IBM,1972-07-11,1.0,1.0,1.0,1.0,305600,1.0,-0.032382999999999995,6.3674599999999995,0.007677,108.110001,108.349998,106.870003,107.32,12830000.0,107.32
2627,2627,IBM,1972-07-12,1.0,1.0,1.0,1.0,432000,1.0,-0.02024,6.372192,0.01823,107.32,108.150002,106.41999799999999,106.889999,16150000.0,106.889999
2628,2628,IBM,1972-07-13,1.0,1.0,1.0,1.0,571200,1.0,-0.06476599999999999,6.376435,0.08481799999999999,106.889999,107.300003,105.620003,106.279999,14740000.0,106.279999
2629,2629,IBM,1972-07-14,1.0,1.0,1.0,1.0,739200,1.0,0.024287,6.381487,0.063365,106.279999,107.58000200000001,105.769997,106.800003,13910000.0,106.800003
2630,2630,IBM,1972-07-17,1.0,1.0,1.0,1.0,515200,1.0,-0.085006,6.382619999999999,0.141894,106.800003,107.370003,105.550003,105.879997,13170000.0,105.879997
2631,2631,IBM,1972-07-18,1.0,1.0,1.0,1.0,897600,1.0,0.008095999999999999,6.3825389999999995,0.123071,105.879997,106.400002,104.43,105.83000200000001,16820000.0,105.83000200000001
2632,2632,IBM,1972-07-19,1.0,1.0,1.0,1.0,768000,1.0,0.024287,6.383753,0.082592,105.83000200000001,107.360001,105.470001,106.139999,17880000.0,106.139999
2633,2633,IBM,1972-07-20,1.0,1.0,1.0,1.0,464000,1.0,0.012144,6.387477,0.049399,106.139999,106.68,105.120003,105.809998,15050000.0,105.809998
2634,2634,IBM,1972-07-21,1.0,1.0,1.0,1.0,500800,1.0,0.093102,6.3916059999999995,0.055847,105.809998,107.050003,104.989998,106.660004,14010000.0,106.660004
2635,2635,IBM,1972-07-24,1.0,1.0,1.0,1.0,760000,1.0,0.036431,6.3965440000000005,0.092683,106.660004,108.66999799999999,106.629997,107.91999799999999,18020000.0,107.91999799999999
2636,2636,IBM,1972-07-25,1.0,1.0,1.0,1.0,672000,1.0,-0.012144,6.401725,0.07892,107.91999799999999,108.879997,107.059998,107.599998,17180000.0,107.599998
2637,2637,IBM,1972-07-26,1.0,1.0,1.0,1.0,1080000,1.0,-0.056670000000000005,6.404316000000001,0.024274,107.599998,108.41999799999999,106.790001,107.529999,14130000.0,107.529999
2638,2638,IBM,1972-07-27,1.0,1.0,1.0,1.0,417600,1.0,0.040479,6.408607,0.056251999999999996,107.529999,108.309998,106.610001,107.279999,13870000.0,107.279999
2639,2639,IBM,1972-07-28,1.0,1.0,1.0,1.0,388800,1.0,0.016191,6.41136,0.064752,107.279999,108.029999,106.519997,107.379997,13050000.0,107.379997
2640,2640,IBM,1972-07-31,1.0,1.0,1.0,1.0,428800,1.0,0.044527,6.413384,0.088635,107.379997,108.059998,106.599998,107.389999,11120000.0,107.389999
2641,2641,IBM,1972-08-01,1.0,1.0,1.0,1.0,1225600,1.0,0.14977200000000002,6.4178370000000005,0.203595,107.389999,108.849998,107.059998,108.400002,15540000.0,108.400002
2642,2642,IBM,1972-08-02,1.0,1.0,1.0,1.0,843200,1.0,-0.016191,6.420428,0.15664,108.400002,109.849998,108.120003,109.290001,17920000.0,109.290001
2643,2643,IBM,1972-08-03,1.0,1.0,1.0,1.0,1460800,1.0,0.12346300000000002,6.425164,0.23820700000000003,109.290001,110.879997,108.900002,110.139999,19970000.0,110.139999
2644,2644,IBM,1972-08-04,1.0,1.0,1.0,1.0,648000,1.0,0.012184,6.429819999999999,0.216587,110.139999,111.120003,109.370003,110.43,15700000.0,110.43
2645,2645,IBM,1972-08-07,1.0,1.0,1.0,1.0,1000000,1.0,0.028429000000000003,6.434721,0.21201199999999998,110.43,111.379997,109.690002,110.610001,13220000.0,110.610001
2646,2646,IBM,1972-08-08,1.0,1.0,1.0,1.0,601600,1.0,0.008123,6.4397839999999995,0.185104,110.610001,111.32,109.66999799999999,110.690002,14550000.0,110.690002
2647,2647,IBM,1972-08-09,1.0,1.0,1.0,1.0,681600,1.0,0.085287,6.449305000000001,0.221165,110.690002,111.57,109.980003,110.860001,15730000.0,110.860001
2648,2648,IBM,1972-08-10,1.0,1.0,1.0,1.0,908800,1.0,0.0,6.458098000000001,0.175986,110.860001,111.68,110.089996,111.050003,15260000.0,111.050003
2649,2649,IBM,1972-08-11,1.0,1.0,1.0,1.0,744000,1.0,0.03249,6.467136,0.161668,111.050003,112.400002,110.519997,111.949997,16570000.0,111.949997
2650,2650,IBM,1972-08-14,1.0,1.0,1.0,1.0,657600,1.0,-0.012184,6.4760919999999995,0.108347,111.949997,113.449997,111.660004,112.550003,18870000.0,112.550003
2651,2651,IBM,1972-08-15,1.0,1.0,1.0,1.0,680000,1.0,-0.073103,6.484881,0.016394,112.550003,113.040001,111.269997,112.059998,16670000.0,112.059998
2652,2652,IBM,1972-08-16,1.0,1.0,1.0,1.0,355200,1.0,-0.06904199999999999,6.492775,0.066213,112.059998,112.800003,110.870003,111.660004,14950000.0,111.660004
2653,2653,IBM,1972-08-17,1.0,1.0,1.0,1.0,521600,1.0,-0.044674,6.499047,0.10763800000000001,111.660004,112.410004,110.720001,111.339996,14360000.0,111.339996
2654,2654,IBM,1972-08-18,1.0,1.0,1.0,1.0,497600,1.0,-0.028429000000000003,6.50556,0.12875699999999998,111.339996,112.529999,110.809998,111.760002,16150000.0,111.760002
2655,2655,IBM,1972-08-21,1.0,1.0,1.0,1.0,409600,1.0,-0.016246,6.512315,0.133225,111.760002,112.739998,110.75,111.720001,14290000.0,111.720001
2656,2656,IBM,1972-08-22,1.0,1.0,1.0,1.0,492800,1.0,0.036552,6.520853,0.087738,111.720001,113.160004,111.279999,112.410004,18560000.0,112.410004
2657,2657,IBM,1972-08-23,1.0,1.0,1.0,1.0,292800,1.0,0.004061,6.5278529999999995,0.06662,112.410004,113.269997,111.300003,112.260002,18670000.0,112.260002
2658,2658,IBM,1972-08-24,1.0,1.0,1.0,1.0,339200,1.0,-0.09341,6.530718,0.133631,112.260002,112.809998,110.620003,111.019997,18280000.0,111.019997
2659,2659,IBM,1972-08-25,1.0,1.0,1.0,1.0,564800,1.0,-0.020306,6.533906,0.12225899999999999,111.019997,111.529999,109.779999,110.66999799999999,13840000.0,110.66999799999999
2660,2660,IBM,1972-08-28,1.0,1.0,1.0,1.0,396800,1.0,-0.028429000000000003,6.536121,0.11738499999999999,110.66999799999999,111.239998,109.709999,110.230003,10720000.0,110.230003
2661,2661,IBM,1972-08-29,1.0,1.0,1.0,1.0,728000,1.0,0.073103,6.540526,0.0256,110.230003,111.019997,109.260002,110.410004,12300000.0,110.410004
2662,2662,IBM,1972-08-30,1.0,1.0,1.0,1.0,344000,1.0,-0.012184,6.544526,0.024788,110.410004,111.33000200000001,109.900002,110.57,12470000.0,110.57
2663,2663,IBM,1972-08-31,1.0,1.0,1.0,1.0,441600,1.0,0.008123,6.548526,0.008948999999999999,110.57,111.519997,110.08000200000001,111.089996,12340000.0,111.089996
2664,2664,IBM,1972-09-01,1.0,1.0,1.0,1.0,384000,1.0,-0.036552,6.5523620000000005,0.036972000000000005,111.089996,112.120003,110.699997,111.510002,11600000.0,111.510002
2665,2665,IBM,1972-09-05,1.0,1.0,1.0,1.0,340800,1.0,-0.024368,6.555953,0.051999000000000004,111.510002,112.08000200000001,110.75,111.230003,10630000.0,111.230003
2666,2666,IBM,1972-09-06,1.0,1.0,1.0,1.0,352000,1.0,-0.056858000000000006,6.559297999999999,0.090175,111.230003,111.379997,110.040001,110.550003,12010000.0,110.550003
2667,2667,IBM,1972-09-07,1.0,1.0,1.0,1.0,452800,1.0,-0.028429000000000003,6.562074000000001,0.096673,110.550003,111.059998,109.709999,110.290001,11090000.0,110.290001
2668,2668,IBM,1972-09-08,1.0,1.0,1.0,1.0,371200,1.0,-0.012184,6.565133,0.095049,110.290001,110.900002,109.66999799999999,110.150002,10980000.0,110.150002
2669,2669,IBM,1972-09-11,1.0,1.0,1.0,1.0,428800,1.0,-0.036551,6.567177,0.116167,110.150002,110.57,109.010002,109.510002,10710000.0,109.510002
2670,2670,IBM,1972-09-12,1.0,1.0,1.0,1.0,571200,1.0,-0.024368,6.5685720000000005,0.12550799999999998,109.510002,109.839996,107.809998,108.470001,13560000.0,108.470001
2671,2671,IBM,1972-09-13,1.0,1.0,1.0,1.0,545600,1.0,0.048735,6.56993,0.059309,108.470001,109.360001,107.839996,108.900002,13070000.0,108.900002
2672,2672,IBM,1972-09-14,1.0,1.0,1.0,1.0,371200,1.0,0.024368,6.570197,0.021133000000000002,108.900002,109.639999,108.209999,108.93,12500000.0,108.93
2673,2673,IBM,1972-09-15,1.0,1.0,1.0,1.0,387200,1.0,-0.028429000000000003,6.568681,0.032098,108.93,109.489998,108.099998,108.809998,11690000.0,108.809998
2674,2674,IBM,1972-09-18,1.0,1.0,1.0,1.0,344000,1.0,-0.024368,6.5665960000000005,0.040221,108.809998,109.220001,107.860001,108.610001,8880000.0,108.610001
2675,2675,IBM,1972-09-19,1.0,1.0,1.0,1.0,384000,1.0,0.012184,6.566374000000001,0.015447,108.610001,109.57,108.08000200000001,108.550003,13330000.0,108.550003
2676,2676,IBM,1972-09-20,1.0,1.0,1.0,1.0,371200,1.0,0.056858000000000006,6.567937,0.042629,108.550003,109.120003,107.839996,108.599998,11980000.0,108.599998
2677,2677,IBM,1972-09-21,1.0,1.0,1.0,1.0,393600,1.0,-0.016245,6.56958,0.026383999999999998,108.599998,109.129997,107.75,108.43,11940000.0,108.43
2678,2678,IBM,1972-09-22,1.0,1.0,1.0,1.0,465600,1.0,-0.020306,6.572112,0.00689,108.43,109.199997,107.720001,108.519997,12570000.0,108.519997
2679,2679,IBM,1972-09-25,1.0,1.0,1.0,1.0,371200,1.0,0.0,6.574158000000001,0.004047,108.519997,109.089996,107.66999799999999,108.050003,10920000.0,108.050003
2680,2680,IBM,1972-09-26,1.0,1.0,1.0,1.0,564800,1.0,-0.002031,6.577864,0.003061,108.050003,108.970001,107.349998,108.120003,13150000.0,108.120003
2681,2681,IBM,1972-09-27,1.0,1.0,1.0,1.0,793600,1.0,0.144176,6.584291,0.126494,108.120003,109.91999799999999,107.790001,109.660004,14620000.0,109.660004
2682,2682,IBM,1972-09-28,1.0,1.0,1.0,1.0,777600,1.0,-0.044674,6.589339,0.074103,109.660004,110.75,108.75,110.349998,14710000.0,110.349998
2683,2683,IBM,1972-09-29,1.0,1.0,1.0,1.0,668800,1.0,0.036552,6.594875,0.09644,110.349998,110.550003,108.050003,110.550003,16250000.0,110.550003
2684,2684,IBM,1972-10-02,1.0,1.0,1.0,1.0,483200,1.0,-0.020307,6.598142999999999,0.061512,110.550003,110.980003,109.489998,110.160004,12440000.0,110.160004
2685,2685,IBM,1972-10-03,1.0,1.0,1.0,1.0,449600,1.0,0.024368,6.60117,0.07004099999999999,110.160004,110.900002,109.470001,110.300003,13090000.0,110.300003
2686,2686,IBM,1972-10-04,1.0,1.0,1.0,1.0,449600,1.0,-0.056858000000000006,6.6033029999999995,0.008715,110.300003,111.349998,109.58000200000001,110.089996,16640000.0,110.089996
2687,2687,IBM,1972-10-05,1.0,1.0,1.0,1.0,739200,1.0,-0.134023,6.603889,0.117998,110.089996,110.519997,108.489998,108.889999,17730000.0,108.889999
2688,2688,IBM,1972-10-06,1.0,1.0,1.0,1.0,737600,1.0,0.10559400000000001,6.605777000000001,0.017684000000000002,108.889999,110.489998,107.779999,109.620003,16630000.0,109.620003
2689,2689,IBM,1972-10-09,1.0,1.0,1.0,1.0,219200,1.0,-0.020307,6.606935000000001,0.04124,109.620003,110.440002,109.279999,109.900002,7940000.0,109.900002
2690,2690,IBM,1972-10-10,1.0,1.0,1.0,1.0,1107200,1.0,-0.10153200000000001,6.6051720000000005,0.136071,109.900002,111.110001,109.32,109.989998,13310000.0,109.989998
2691,2691,IBM,1972-10-11,1.0,1.0,1.0,1.0,2044800,1.0,-0.052797000000000004,6.599357,0.16247,109.989998,110.510002,108.769997,109.5,11900000.0,109.5
2692,2692,IBM,1972-10-12,1.0,1.0,1.0,1.0,1049600,1.0,-0.10153200000000001,6.5918350000000006,0.23191799999999999,109.5,109.690002,108.029999,108.599998,13130000.0,108.599998
2693,2693,IBM,1972-10-13,1.0,1.0,1.0,1.0,1440000,1.0,-0.089349,6.580057000000001,0.276593,108.599998,108.879997,107.16999799999999,107.91999799999999,12870000.0,107.91999799999999
2694,2694,IBM,1972-10-16,1.0,1.0,1.0,1.0,1904000,1.0,-0.23555500000000001,6.563324000000001,0.445949,107.91999799999999,108.400002,106.379997,106.769997,10940000.0,106.769997
2695,2695,IBM,1972-10-17,1.0,1.0,1.0,1.0,2627200,1.0,0.09341,6.547891,0.293244,106.769997,108.040001,106.269997,107.5,13410000.0,107.5
2696,2696,IBM,1972-10-18,1.0,1.0,1.0,1.0,1612800,1.0,0.142145,6.535139,0.111704,107.5,109.110001,107.360001,108.190002,17290000.0,108.190002
2697,2697,IBM,1972-10-19,1.0,1.0,1.0,1.0,811200,1.0,-0.008123,6.520518,0.09302200000000001,108.190002,108.809998,107.400002,108.050003,13850000.0,108.050003
2698,2698,IBM,1972-10-20,1.0,1.0,1.0,1.0,796800,1.0,0.13808499999999999,6.508659,0.068618,108.050003,109.790001,107.589996,109.239998,15740000.0,109.239998
2699,2699,IBM,1972-10-23,1.0,1.0,1.0,1.0,552000,1.0,0.056857000000000005,6.497287,0.14131400000000002,109.510002,111.099998,109.510002,110.349998,14190000.0,110.349998
2700,2700,IBM,1972-10-24,1.0,1.0,1.0,1.0,548800,1.0,-0.020306,6.485753,0.128724,110.349998,111.339996,109.379997,110.809998,15240000.0,110.809998
2701,2701,IBM,1972-10-25,1.0,1.0,1.0,1.0,321600,1.0,-0.09341,6.473813,0.047092,110.809998,111.559998,109.959999,110.720001,17430000.0,110.720001
2702,2702,IBM,1972-10-26,1.0,1.0,1.0,1.0,809600,1.0,-0.097471,6.461304,0.039007,110.720001,112.260002,110.260002,110.989998,20790000.0,110.989998
2703,2703,IBM,1972-10-27,1.0,1.0,1.0,1.0,484800,1.0,0.020307,6.450095,0.018294,110.989998,111.620003,109.989998,110.620003,15470000.0,110.620003
2704,2704,IBM,1972-10-30,1.0,1.0,1.0,1.0,276800,1.0,0.016245,6.439779,0.026823000000000003,110.620003,111.190002,109.660004,110.589996,11820000.0,110.589996
2705,2705,IBM,1972-10-31,1.0,1.0,1.0,1.0,499200,1.0,0.09341,6.431655999999999,0.041813,110.589996,112.050003,110.400002,111.58000200000001,15450000.0,111.58000200000001
2706,2706,IBM,1972-11-01,1.0,1.0,1.0,1.0,744000,1.0,0.064981,6.4241019999999995,0.089736,111.58000200000001,113.309998,111.32,112.66999799999999,21360000.0,112.66999799999999
2707,2707,IBM,1972-11-02,1.0,1.0,1.0,1.0,548800,1.0,0.024367,6.4169540000000005,0.093796,112.66999799999999,113.809998,111.959999,113.230003,20690000.0,113.230003
2708,2708,IBM,1972-11-03,1.0,1.0,1.0,1.0,512000,1.0,-0.050766000000000006,6.410659,0.041609,113.230003,114.809998,112.709999,114.220001,22510000.0,114.220001
2709,2709,IBM,1972-11-06,1.0,1.0,1.0,1.0,1024000,1.0,-0.111686,6.4025360000000004,0.054644000000000005,114.220001,115.16999799999999,112.910004,113.980003,21330000.0,113.980003
2710,2710,IBM,1972-11-08,1.0,1.0,1.0,1.0,1155200,1.0,-0.051354,6.393955,0.08746,113.980003,115.230003,112.769997,113.349998,24620000.0,113.349998
2711,2711,IBM,1972-11-09,1.0,1.0,1.0,1.0,819200,1.0,-0.081515,6.382282,0.151627,113.349998,114.110001,112.08000200000001,113.5,17040000.0,113.5
2712,2712,IBM,1972-11-10,1.0,1.0,1.0,1.0,833600,1.0,0.012227,6.371097,0.133022,113.5,115.150002,112.849998,113.730003,24360000.0,113.730003
2713,2713,IBM,1972-11-13,1.0,1.0,1.0,1.0,704000,1.0,0.073363,6.361217,0.058586,113.730003,114.75,112.910004,113.900002,17210000.0,113.900002
2714,2714,IBM,1972-11-14,1.0,1.0,1.0,1.0,996800,1.0,0.183409,6.355736,0.109179,113.900002,115.410004,113.360001,114.949997,20200000.0,114.949997
2715,2715,IBM,1972-11-15,1.0,1.0,1.0,1.0,568000,1.0,-0.061136,6.349519,0.047854,114.949997,116.07,113.870003,114.5,23270000.0,114.5
2716,2716,IBM,1972-11-16,1.0,1.0,1.0,1.0,496000,1.0,0.012227,6.344684,0.065167,114.5,115.57,113.730003,115.129997,19580000.0,115.129997
2717,2717,IBM,1972-11-17,1.0,1.0,1.0,1.0,401600,1.0,-0.016303,6.340091999999999,0.058017,115.129997,116.230003,114.440002,115.489998,20220000.0,115.489998
2718,2718,IBM,1972-11-20,1.0,1.0,1.0,1.0,364800,1.0,0.016303,6.336069,0.076767,115.489998,116.25,114.57,115.529999,16680000.0,115.529999
2719,2719,IBM,1972-11-21,1.0,1.0,1.0,1.0,651200,1.0,0.036681,6.333511,0.10105800000000001,115.529999,116.839996,115.040001,116.209999,22110000.0,116.209999
2720,2720,IBM,1972-11-22,1.0,1.0,1.0,1.0,904000,1.0,0.110046,6.333641,0.18257400000000001,116.209999,117.610001,115.66999799999999,116.900002,24510000.0,116.900002
2721,2721,IBM,1972-11-24,1.0,1.0,1.0,1.0,480000,1.0,-0.081515,6.3311660000000005,0.072529,116.900002,117.910004,116.190002,117.269997,15760000.0,117.269997
2722,2722,IBM,1972-11-27,1.0,1.0,1.0,1.0,400000,1.0,-0.057061,6.327063,0.0061329999999999996,117.269997,117.550003,115.660004,116.720001,18190000.0,116.720001
2723,2723,IBM,1972-11-28,1.0,1.0,1.0,1.0,396800,1.0,-0.052985000000000004,6.322469,0.068085,116.720001,117.480003,115.779999,116.470001,19210000.0,116.470001
2724,2724,IBM,1972-11-29,1.0,1.0,1.0,1.0,539200,1.0,0.07744,6.319911,0.010985,116.470001,117.139999,115.559998,116.519997,17380000.0,116.519997
2725,2725,IBM,1972-11-30,1.0,1.0,1.0,1.0,440000,1.0,0.065211,6.318413,0.065192,116.519997,117.389999,115.739998,116.66999799999999,19340000.0,116.66999799999999
2726,2726,IBM,1972-12-01,1.0,1.0,1.0,1.0,1123200,1.0,0.114121,6.318061,0.158119,116.66999799999999,118.18,116.290001,117.379997,22570000.0,117.379997
2727,2727,IBM,1972-12-04,1.0,1.0,1.0,1.0,1088000,1.0,0.040757999999999996,6.318849,0.171977,117.379997,118.540001,116.989998,117.769997,19730000.0,117.769997
2728,2728,IBM,1972-12-05,1.0,1.0,1.0,1.0,577600,1.0,-0.040757999999999996,6.319228,0.110025,117.769997,118.41999799999999,116.889999,117.58000200000001,17800000.0,117.58000200000001
2729,2729,IBM,1972-12-06,1.0,1.0,1.0,1.0,640000,1.0,-0.016302,6.319281,0.077827,117.58000200000001,118.559998,116.900002,118.010002,18610000.0,118.010002
2730,2730,IBM,1972-12-07,1.0,1.0,1.0,1.0,504000,1.0,-0.004076,6.319293,0.069268,118.010002,119.16999799999999,117.57,118.599998,19320000.0,118.599998
2731,2731,IBM,1972-12-08,1.0,1.0,1.0,1.0,932800,1.0,0.101893,6.318459,0.148337,118.599998,119.540001,117.91999799999999,118.860001,18030000.0,118.860001
2732,2732,IBM,1972-12-11,1.0,1.0,1.0,1.0,616000,1.0,0.020378999999999998,6.318926,0.138148,118.860001,119.779999,118.239998,119.120003,17230000.0,119.120003
2733,2733,IBM,1972-12-12,1.0,1.0,1.0,1.0,609600,1.0,-0.08559,6.31695,0.02525,119.120003,119.790001,118.089996,118.660004,17040000.0,118.660004
2734,2734,IBM,1972-12-13,1.0,1.0,1.0,1.0,416000,1.0,-0.044834,6.314483999999999,0.034664,118.660004,119.230003,117.769997,118.559998,16540000.0,118.559998
2735,2735,IBM,1972-12-14,1.0,1.0,1.0,1.0,420800,1.0,-0.012227,6.311286,0.054227,118.559998,119.190002,117.629997,118.239998,17930000.0,118.239998
2736,2736,IBM,1972-12-15,1.0,1.0,1.0,1.0,569600,1.0,0.042795,6.310080999999999,0.011636,118.239998,119.25,117.370003,118.260002,18300000.0,118.260002
2737,2737,IBM,1972-12-18,1.0,1.0,1.0,1.0,796800,1.0,-0.059098000000000005,6.3103739999999995,0.060952,117.879997,117.879997,115.889999,116.900002,17540000.0,116.900002
2738,2738,IBM,1972-12-19,1.0,1.0,1.0,1.0,752000,1.0,-0.073363,6.307087999999999,0.121273,116.900002,117.370003,115.690002,116.339996,17000000.0,116.339996
2739,2739,IBM,1972-12-20,1.0,1.0,1.0,1.0,619200,1.0,-0.008152,6.3040449999999995,0.117198,116.339996,117.129997,115.379997,115.949997,18490000.0,115.949997
2740,2740,IBM,1972-12-21,1.0,1.0,1.0,1.0,515200,1.0,-0.065212,6.301729,0.164069,115.949997,116.599998,114.629997,115.110001,18290000.0,115.110001
2741,2741,IBM,1972-12-22,1.0,1.0,1.0,1.0,360000,1.0,0.081515,6.302099,0.062175,115.110001,116.400002,114.779999,115.83000200000001,12540000.0,115.83000200000001
2742,2742,IBM,1972-12-26,1.0,1.0,1.0,1.0,291200,1.0,0.020378999999999998,6.304907,0.021417,115.83000200000001,116.870003,115.540001,116.300003,11120000.0,116.300003
2743,2743,IBM,1972-12-27,1.0,1.0,1.0,1.0,555200,1.0,0.118197,6.311866,0.09677999999999999,116.300003,117.550003,115.889999,116.93,19100000.0,116.93
2744,2744,IBM,1972-12-29,1.0,1.0,1.0,1.0,929600,1.0,0.048908,6.324514,0.13631400000000002,116.93,118.769997,116.699997,118.050003,27550000.0,118.050003
2745,2745,IBM,1973-01-02,1.0,1.0,1.0,1.0,724800,1.0,0.114121,6.337577,0.22842600000000002,118.059998,119.900002,118.059998,119.099998,17090000.0,119.099998
2746,2746,IBM,1973-01-03,1.0,1.0,1.0,1.0,1089600,1.0,0.004075,6.347878,0.214364,119.099998,120.449997,118.690002,119.57,20620000.0,119.57
2747,2747,IBM,1973-01-04,1.0,1.0,1.0,1.0,923200,1.0,0.040757999999999996,6.359157,0.22699899999999998,119.57,120.16999799999999,118.120003,119.400002,20230000.0,119.400002
2748,2748,IBM,1973-01-05,1.0,1.0,1.0,1.0,1203200,1.0,0.114121,6.369956,0.294249,119.400002,120.709999,118.879997,119.870003,19330000.0,119.870003
2749,2749,IBM,1973-01-08,1.0,1.0,1.0,1.0,652800,1.0,0.0,6.379618,0.246563,119.870003,120.550003,119.040001,119.849998,16840000.0,119.849998
2750,2750,IBM,1973-01-09,1.0,1.0,1.0,1.0,675200,1.0,-0.020378999999999998,6.389279,0.174015,119.849998,120.400002,118.889999,119.730003,16830000.0,119.730003
2751,2751,IBM,1973-01-10,1.0,1.0,1.0,1.0,496000,1.0,-0.097817,6.398852,0.041962,119.730003,120.440002,118.779999,119.43,20880000.0,119.43
2752,2752,IBM,1973-01-11,1.0,1.0,1.0,1.0,1059200,1.0,0.061136,6.411597,0.064786,119.43,121.739998,119.010002,120.239998,25050000.0,120.239998
2753,2753,IBM,1973-01-12,1.0,1.0,1.0,1.0,993600,1.0,0.07743799999999999,6.425484,0.10798800000000001,120.239998,121.269997,118.690002,119.300003,22230000.0,119.300003
2754,2754,IBM,1973-01-15,1.0,1.0,1.0,1.0,1372800,1.0,0.052985000000000004,6.440106,0.126329,119.300003,120.82,118.040001,118.440002,21520000.0,118.440002
2755,2755,IBM,1973-01-16,1.0,1.0,1.0,1.0,907200,1.0,-0.012227,6.452616,0.092093,118.440002,119.16999799999999,117.040001,118.139999,19170000.0,118.139999
2756,2756,IBM,1973-01-17,1.0,1.0,1.0,1.0,417600,1.0,0.024454,6.464315,0.0925,118.139999,119.349998,117.610001,118.68,17680000.0,118.68
2757,2757,IBM,1973-01-18,1.0,1.0,1.0,1.0,752000,1.0,0.07947699999999999,6.4771160000000005,0.144058,118.68,119.93,118.150002,118.849998,17810000.0,118.849998
2758,2758,IBM,1973-01-19,1.0,1.0,1.0,1.0,1195200,1.0,0.165068,6.494234,0.276113,118.849998,119.449997,117.459999,118.779999,17020000.0,118.779999
2759,2759,IBM,1973-01-22,1.0,1.0,1.0,1.0,689600,1.0,-0.04891,6.512607,0.19908,118.779999,119.629997,117.720001,118.209999,15570000.0,118.209999
2760,2760,IBM,1973-01-23,1.0,1.0,1.0,1.0,1096000,1.0,0.1345,6.534698000000001,0.28997,118.209999,119.0,116.839996,118.220001,19060000.0,118.220001
